date,confirmed,recovered,deaths,active
2020-01-22,557,30,17,510
2020-01-23,657,32,18,607
2020-01-24,944,39,26,879
2020-01-25,1437,42,42,1353
2020-01-26,2120,56,56,2008
2020-01-27,2929,65,82,2782
2020-01-28,5580,108,131,5341
2020-01-29,6169,127,133,5909
2020-01-30,8237,145,172,7920
2020-01-31,9927,225,214,9488
2020-02-01,12038,287,260,11491
2020-02-02,16787,476,364,15947
2020-02-03,19887,627,428,18832
2020-02-04,23899,857,494,22548
2020-02-05,27644,1130,566,25948
2020-02-06,30806,1493,636,28677
2020-02-07,34339,2016,721,31602
2020-02-08,37070,2617,808,33645
2020-02-09,40098,3247,908,35943
2020-02-10,42636,3949,1015,37672
2020-02-11,44679,4684,1115,38880
2020-02-12,45057,5151,1120,38786
2020-02-13,60209,6294,1373,52542
2020-02-14,66694,8061,1525,57108
2020-02-15,68770,9397,1668,57705
2020-02-16,70883,10867,1772,58244
2020-02-17,72819,12587,1870,58362
2020-02-18,74613,14352,2010,58251
2020-02-19,75034,16122,2125,56787
2020-02-20,75582,18180,2248,55154
2020-02-21,76212,18893,2252,55067
2020-02-22,77974,22891,2460,52623
2020-02-23,78299,23397,2470,52432
2020-02-24,78867,25229,2630,51008
2020-02-25,79721,27907,2710,49104
2020-02-26,80679,30378,2770,47531
2020-02-27,82023,33272,2813,45938
2020-02-28,83447,36704,2870,43873
2020-02-29,85318,39775,2940,42603
2020-03-01,87697,42711,2994,41992
2020-03-02,89677,45595,3084,40998
2020-03-03,92288,48217,3158,40913
2020-03-04,94632,51160,3254,40218
2020-03-05,97372,53786,3349,40237
2020-03-06,101356,55824,3463,42069
2020-03-07,105493,58318,3567,43608
2020-03-08,109291,60655,3809,44827
2020-03-09,113586,62455,4003,47128
2020-03-10,118345,64362,4278,49705
2020-03-11,125821,66674,4629,54518
2020-03-12,132577,68003,4950,59624
2020-03-13,145771,69930,5453,70388
2020-03-14,156656,72297,5879,78480
2020-03-15,167886,75706,6550,85630
2020-03-16,182445,77761,7261,97423
2020-03-17,197616,80505,8112,108999
2020-03-18,215168,82992,9068,123108
2020-03-19,242254,84633,10210,147411
2020-03-20,271783,87078,11784,172921
2020-03-21,304207,91325,13591,199291
2020-03-22,338408,97542,15419,225447
2020-03-23,380961,98030,17514,265417
2020-03-24,422816,107649,19938,295229
2020-03-25,474295,113166,22909,338220
2020-03-26,535093,121528,26162,387403
2020-03-27,599006,130312,29801,438893
2020-03-28,668584,138823,33850,495911
2020-03-29,725095,148273,37669,539153
2020-03-30,790103,163609,42039,584455
2020-03-31,868533,177199,47207,644127
2020-04-01,954877,192466,53848,708563
2020-04-02,1037311,209589,60101,767621
2020-04-03,1121518,225011,66603,829904
2020-04-04,1181630,245417,72962,863251
2020-04-05,1253340,259246,78883,915211
2020-04-06,1328060,275951,85310,966799
2020-04-07,1396978,299212,93825,1003941
2020-04-08,1479133,328085,101043,1050005
2020-04-09,1566274,353332,109197,1103745
2020-04-10,1652690,375069,116937,1160684
2020-04-11,1728182,401305,123919,1202958
2020-04-12,1846728,420682,130433,1295613
2020-04-13,1918480,447938,136946,1333596
2020-04-14,2003098,472987,144301,1385810
2020-04-15,2081344,509523,153066,1418755
2020-04-16,2175775,540396,160776,1474603
2020-04-17,2263629,566566,169661,1527402
2020-04-18,2341844,590427,176090,1575327
2020-04-19,2418136,622201,182191,1613744
2020-04-20,2494565,644370,188702,1661493
2020-04-21,2570608,679151,195895,1695562
2020-04-22,2652639,709231,203171,1740237
2020-04-23,2735330,737950,210441,1786939
2020-04-24,2818849,787955,217278,1813616
2020-04-25,2901997,815707,223328,1862962
2020-04-26,2972761,844516,228143,1900102
2020-04-27,3043707,872399,233587,1937721
2020-04-28,3119515,905573,240215,1973727
2020-04-29,3196807,947616,247195,2001996
2020-04-30,3280440,1012712,253446,2014282
2020-05-01,3369357,1050847,259033,2059477
2020-05-02,3447587,1091471,265079,2091037
2020-05-03,3521526,1123966,269352,2128208
2020-05-04,3599077,1158007,274195,2166875
2020-05-05,3678644,1194458,280334,2203852
2020-05-06,3768989,1240490,287090,2241409
2020-05-07,3858007,1279972,292954,2285081
2020-05-08,3948392,1316357,298901,2333134
2020-05-09,4032666,1369735,303814,2359117
2020-05-10,4107816,1403494,308150,2396172
2020-05-11,4183884,1450376,312226,2421282
2020-05-12,4269086,1487416,317954,2463716
2020-05-13,4353333,1543254,323386,2486693
2020-05-14,4448774,1582958,329126,2536690
2020-05-15,4544455,1631027,334872,2578556
2020-05-16,4638274,1687431,339410,2611433
2020-05-17,4716403,1728416,343285,2644702
2020-05-18,4805524,1781304,347680,2676540
2020-05-19,4900892,1832684,352635,2715573
2020-05-20,5006062,1891792,358040,2756230
2020-05-21,5111801,1942994,363071,2805736
2020-05-22,5218870,2050904,368777,2799189
2020-05-23,5322778,2105594,373225,2843959
2020-05-24,5415769,2160996,376622,2878151
2020-05-25,5503777,2224622,378311,2900844
2020-05-26,5595947,2279746,383086,2933115
2020-05-27,5698311,2342905,388300,2967106
2020-05-28,5818115,2409660,393287,3015168
2020-05-29,5939403,2486811,398435,3054157
2020-05-30,6074261,2557152,402782,3114327
2020-05-31,6176979,2633363,406066,3137550
2020-06-01,6277068,2688196,409802,3179070
2020-06-02,6399527,2792174,415070,3192283
2020-06-03,6510620,2871125,420683,3218812
2020-06-04,6648701,2941089,426202,3281410
2020-06-05,6781983,3010131,431251,3340601
2020-06-06,6911182,3082226,435391,3393565
2020-06-07,7022062,3137236,438647,3446179
2020-06-08,7124975,3288747,443101,3393127
2020-06-09,7250789,3370940,448131,3431718
2020-06-10,7387780,3449945,453555,3484280
2020-06-11,7523782,3535706,458685,3529391
2020-06-12,7651092,3615309,463424,3572359
2020-06-13,7784774,3701042,467796,3615936
2020-06-14,7916572,3771717,471571,3673284
2020-06-15,8041239,3851847,475593,3713799
2020-06-16,8184871,3949544,482704,3752623
2020-06-17,8327809,4068111,488150,3771548
2020-06-18,8470722,4149202,493497,3828023
2020-06-19,8651530,4244095,499852,3907583
2020-06-20,8837228,4359799,504330,3973099
2020-06-21,8930127,4428327,508970,3992830
2020-06-22,9072263,4519878,512834,4039551
2020-06-23,9240204,4623807,518395,4098002
2020-06-24,9411495,4739399,523879,4148217
2020-06-25,9590768,4832122,528972,4229674
2020-06-26,9783086,4937925,534048,4311113
2020-06-27,9959349,5044072,538779,4376498
2020-06-28,10127604,5133116,542387,4452101
2020-06-29,10280125,5227588,546456,4506081
2020-06-30,10463645,5344724,551700,4567221
2020-07-01,10678572,5460413,557033,4661126
2020-07-02,10883314,5745174,562537,4575603
2020-07-03,11085818,5854872,567764,4663182
2020-07-04,11275312,6050375,572553,4652384
2020-07-05,11461156,6169587,576389,4715180
2020-07-06,11629163,6293165,580640,4755358
2020-07-07,11838436,6438078,586992,4813366
2020-07-08,12053381,6596003,592615,4864763
2020-07-09,12277558,6730451,598445,4948662
2020-07-10,12510068,6869776,604175,5036117
2020-07-11,12722570,6995287,609311,5117972
2020-07-12,12915085,7106965,613554,5194566
2020-07-13,13109218,7247161,617981,5244076
2020-07-14,13329936,7389218,623955,5316763
2020-07-15,13559490,7548843,629865,5380782
2020-07-16,13804122,7701175,636015,5466932
2020-07-17,14041247,7884395,643042,5513810
2020-07-18,14276235,8034940,649563,5591732
2020-07-19,14487865,8122745,654449,5710671
2020-07-20,14695777,8281691,658407,5755679
2020-07-21,14938506,8456138,664730,5817638
2020-07-22,15213520,8635638,672139,5905743
2020-07-23,15492822,8811658,678761,6002403
2020-07-24,15775998,9039727,685209,6051062
2020-07-25,16025145,9259333,691261,6074551
2020-07-26,16236516,9402323,695649,6138544
2020-07-27,16470465,9573420,700931,6196114
2020-07-28,16733970,9743732,707855,6282383
2020-07-29,17003719,9946073,714476,6343170
2020-07-30,17285128,10159274,721235,6404619
2020-07-31,17572245,10358637,727823,6485785
2020-08-01,17818083,10539329,733796,6544958
2020-08-02,18048318,10677875,738462,6631981
2020-08-03,18254018,10900113,743307,6610598
2020-08-04,18519000,11123514,750452,6645034
2020-08-05,18793837,11344852,757808,6691177
2020-08-06,19080213,11533385,764635,6782193
2020-08-07,19362330,11725243,771379,6865708
2020-08-08,19627230,11925182,777390,6924658
2020-08-09,19859883,12103773,782567,6973543
2020-08-10,20092743,12267711,787924,7037108
2020-08-11,20357993,12572450,794519,6991024
2020-08-12,20632672,12812681,801475,7018516
2020-08-13,20922366,12976158,808251,7137957
2020-08-14,21229173,13259103,814807,7155263
2020-08-15,21477921,13427244,820851,7229826
2020-08-16,21687674,13659928,825636,7202110
2020-08-17,21900293,13870610,830237,7199446
2020-08-18,22159406,14097711,837282,7224413
2020-08-19,22436614,14315523,843690,7277401
2020-08-20,22707780,14522843,850100,7334837
2020-08-21,22969490,14690995,855860,7422635
2020-08-22,23232750,14900595,861634,7470521
2020-08-23,23435322,15116775,865922,7452625
2020-08-24,23663205,15315968,870764,7476473
2020-08-25,23908177,15547322,877315,7483540
2020-08-26,24189610,15772688,883842,7533080
2020-08-27,24476644,15979712,890048,7606884
2020-08-28,24760390,16178542,895868,7685980
2020-08-29,25020924,16389651,901647,7729626
2020-08-30,25240416,16599642,905912,7734862
2020-08-31,25504548,16800184,910334,7794030
2020-09-01,25771203,17057839,916920,7796444
2020-09-02,26052881,17276873,923229,7852779
2020-09-03,26338122,17497808,929320,7910994
2020-09-04,26639572,17711020,935156,7993396
2020-09-05,26913099,17911781,940244,8061074
2020-09-06,27141934,18123374,944371,8074189
2020-09-07,27359064,18320711,953988,8084365
2020-09-08,27605418,18522298,959106,8124014
2020-09-09,27890563,18762364,965364,8162835
2020-09-10,28194786,18978859,971353,8244574
2020-09-11,28510942,19202317,977342,8331283
2020-09-12,28799532,19425071,982397,8392064
2020-09-13,29048232,19612680,986352,8449200
2020-09-14,29315250,19840832,990952,8483466
2020-09-15,29595573,20066668,997513,8531392
2020-09-16,29900378,20295916,1003377,8601085
2020-09-17,30215824,20515817,1009018,8690989
2020-09-18,30542281,20766685,1014866,8760730
2020-09-19,30835260,21003410,1020135,8811715
2020-09-20,31090226,21240267,1024116,8825843
2020-09-21,31349998,21485566,1028543,8835889
2020-09-22,31634184,21704738,1034692,8894754
2020-09-23,31945611,21967983,1041238,8936390
2020-09-24,32266375,22223462,1046905,8996008
2020-09-25,32596870,22462461,1052920,9081489
2020-09-26,32882868,22724438,1058350,9100080
2020-09-27,33129760,22938134,1062231,9129395
2020-09-28,33390891,23160433,1066342,9164116
2020-09-29,33673576,23401516,1072390,9199670
2020-09-30,33997994,23649567,1078814,9269613
2020-10-01,34316948,23870839,1087701,9358408
2020-10-02,34646306,24042903,1093427,9509976
2020-10-03,34943554,24298374,1098208,9546972
2020-10-04,35203945,24520371,1102247,9581327
2020-10-05,35515199,24757704,1109330,9648165
2020-10-06,35831220,24990131,1115189,9725900
2020-10-07,36180220,25245163,1121105,9813952
2020-10-08,36539428,25464542,1127487,9947399
2020-10-09,36899683,25671203,1133663,10094817
2020-10-10,37255071,25866493,1138561,10250017
2020-10-11,37544458,26088965,1142754,10312739
2020-10-12,37834356,26288994,1146879,10398483
2020-10-13,38153560,26481304,1152226,10520030
2020-10-14,38534197,26693461,1158388,10682348
2020-10-15,38941058,26900629,1164596,10875833
2020-10-16,39351415,27103501,1170806,11077108
2020-10-17,39723339,27301663,1176533,11245143
2020-10-18,40054388,27503046,1180489,11370853
2020-10-19,40429174,27705463,1185328,11538383
2020-10-20,40817778,27916766,1191950,11709062
2020-10-21,41257219,28127866,1198853,11930500
2020-10-22,41739070,28354527,1204831,12179712
2020-10-23,42232731,28561091,1211930,12459710
2020-10-24,42688845,28772542,1217846,12698457
2020-10-25,43047444,28969682,1222209,12855553
2020-10-26,43530436,29208740,1228048,13093648
2020-10-27,43998836,29798370,1235434,12965032
2020-10-28,44519867,30064044,1242599,13213224
2020-10-29,45071188,30310737,1249834,13510617
2020-10-30,45642153,30566299,1257603,13818251
2020-10-31,46114203,30810488,1264274,14039441
2020-11-01,46553344,31068379,1269629,14215336
2020-11-02,47100807,31348250,1276075,14476482
2020-11-03,47665446,31599648,1285630,14780168
2020-11-04,48156976,31878775,1295513,14982688
2020-11-05,48775594,32182266,1304247,15289081
2020-11-06,49397997,32470469,1313391,15614137
2020-11-07,49997132,32769415,1321177,15906540
2020-11-08,50487927,33022591,1327578,16137758
2020-11-09,50995820,33279332,1335123,16381365
