date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,2,0,0,2
2020-03-03,2,0,0,2
2020-03-04,5,0,0,5
2020-03-05,8,0,0,8
2020-03-06,13,0,0,13
2020-03-07,20,0,0,20
2020-03-08,30,0,0,30
2020-03-09,30,0,0,30
2020-03-10,41,0,0,41
2020-03-11,59,0,0,59
2020-03-12,59,0,0,59
2020-03-13,112,1,0,111
2020-03-14,169,2,0,167
2020-03-15,245,2,0,243
2020-03-16,331,3,0,328
2020-03-17,448,3,1,444
2020-03-18,448,3,2,443
2020-03-19,785,3,3,779
2020-03-20,1020,5,6,1009
2020-03-21,1280,5,12,1263
2020-03-22,1600,5,14,1581
2020-03-23,2060,5,23,2032
2020-03-24,2362,22,33,2307
2020-03-25,2995,22,43,2930
2020-03-26,3544,43,60,3441
2020-03-27,4268,43,76,4149
2020-03-28,5170,43,100,5027
2020-03-29,5962,43,119,5800
2020-03-30,6408,43,140,6225
2020-03-31,7443,43,160,7240
2020-04-01,8251,43,187,8021
