date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,4,0,0,4
2020-03-06,7,0,0,7
2020-03-07,16,0,0,16
2020-03-08,16,0,0,16
2020-03-09,19,0,0,19
2020-03-10,26,0,0,26
2020-03-11,30,0,0,30
2020-03-12,30,0,0,30
2020-03-13,31,0,0,31
2020-03-14,35,0,0,35
2020-03-15,38,0,0,38
2020-03-16,38,0,0,38
2020-03-17,39,0,0,39
2020-03-18,41,0,0,41
2020-03-19,44,0,0,44
2020-03-20,47,17,0,30
2020-03-21,48,17,0,31
2020-03-22,52,17,0,35
2020-03-23,59,17,0,42
2020-03-24,59,17,0,42
2020-03-25,59,17,0,42
2020-03-26,84,17,1,66
2020-03-27,91,17,1,73
2020-03-28,98,18,1,79
2020-03-29,109,18,1,90
2020-03-30,116,18,1,97
2020-03-31,119,18,1,100
2020-04-01,134,18,1,115
2020-04-02,161,18,1,142
2020-04-03,194,21,1,172
