date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,1,0,0,1
2020-02-27,3,0,0,3
2020-02-28,4,0,0,4
2020-02-29,4,0,0,4
2020-03-01,7,0,0,7
2020-03-02,7,0,0,7
2020-03-03,7,0,0,7
2020-03-04,9,0,0,9
2020-03-05,31,0,0,31
2020-03-06,45,0,0,45
2020-03-07,46,0,0,46
2020-03-08,73,0,0,73
2020-03-09,73,0,0,73
2020-03-10,89,0,0,89
2020-03-11,99,0,1,98
2020-03-12,99,0,1,98
2020-03-13,190,0,1,189
2020-03-14,228,8,3,217
2020-03-15,331,8,4,319
2020-03-16,331,8,4,319
2020-03-17,387,8,5,374
2020-03-18,418,8,5,405
2020-03-19,418,8,6,404
2020-03-20,495,19,8,468
2020-03-21,530,19,13,498
2020-03-22,624,19,15,590
2020-03-23,695,19,17,659
2020-03-24,743,29,20,694
2020-03-25,835,36,22,777
2020-03-26,835,36,22,777
2020-03-27,835,52,22,761
2020-03-28,835,52,22,761
2020-03-29,1156,52,38,1066
2020-03-30,1156,52,38,1066
2020-03-31,1156,52,38,1066
2020-04-01,1156,52,38,1066
2020-04-02,1156,61,38,1057
