date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,1,0,0,1
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,1,0,0,1
2020-02-03,1,0,0,1
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,3,0,-3
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,2,0,0,2
2020-03-03,0,0,0,0
2020-03-04,23,0,0,23
2020-03-05,2,0,0,2
2020-03-06,1,0,0,1
2020-03-07,3,0,0,3
2020-03-08,5,0,0,5
2020-03-09,4,0,0,4
2020-03-10,13,1,0,12
2020-03-11,6,0,1,5
2020-03-12,11,0,0,11
2020-03-13,9,0,1,8
2020-03-14,20,0,0,20
2020-03-15,11,9,0,2
2020-03-16,6,0,0,6
2020-03-17,23,1,1,21
2020-03-18,14,0,0,14
2020-03-19,38,1,1,36
2020-03-20,50,5,1,44
2020-03-21,86,3,-1,84
2020-03-22,66,4,3,59
2020-03-23,103,0,3,100
2020-03-24,37,13,0,24
2020-03-25,121,3,2,116
2020-03-26,70,2,8,60
2020-03-27,160,28,0,132
2020-03-28,100,11,4,85
2020-03-29,37,11,3,23
2020-03-30,227,7,5,215
2020-03-31,146,21,3,122
2020-04-01,601,25,23,553
2020-04-02,545,43,14,488
2020-04-03,24,1,0,23
