date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,1,0,0,1
2020-01-31,1,0,0,1
2020-02-01,1,0,0,1
2020-02-02,2,0,1,1
2020-02-03,2,0,1,1
2020-02-04,2,0,1,1
2020-02-05,2,0,1,1
2020-02-06,2,0,1,1
2020-02-07,3,0,1,2
2020-02-08,3,0,1,2
2020-02-09,3,0,1,2
2020-02-10,3,0,1,2
2020-02-11,3,0,1,2
2020-02-12,3,1,1,1
2020-02-13,3,1,1,1
2020-02-14,3,1,1,1
2020-02-15,3,1,1,1
2020-02-16,3,1,1,1
2020-02-17,3,1,1,1
2020-02-18,3,1,1,1
2020-02-19,3,1,1,1
2020-02-20,3,1,1,1
2020-02-21,3,1,1,1
2020-02-22,3,1,1,1
2020-02-23,3,1,1,1
2020-02-24,3,1,1,1
2020-02-25,3,1,1,1
2020-02-26,3,1,1,1
2020-02-27,3,1,1,1
2020-02-28,3,1,1,1
2020-02-29,3,1,1,1
2020-03-01,3,1,1,1
2020-03-02,3,1,1,1
2020-03-03,3,1,1,1
2020-03-04,3,1,1,1
2020-03-05,3,1,1,1
2020-03-06,5,1,1,3
2020-03-07,6,1,1,4
2020-03-08,10,1,1,8
2020-03-09,20,1,1,18
2020-03-10,33,2,1,30
2020-03-11,49,2,1,46
2020-03-12,52,2,2,48
2020-03-13,64,2,5,57
2020-03-14,111,2,8,101
2020-03-15,140,2,11,127
2020-03-16,142,2,12,128
2020-03-17,187,5,12,170
2020-03-18,202,5,19,178
2020-03-19,217,8,17,192
2020-03-20,230,8,18,204
2020-03-21,307,13,19,275
2020-03-22,380,17,25,338
2020-03-23,462,17,33,412
2020-03-24,552,20,35,497
2020-03-25,636,26,38,572
2020-03-26,707,28,45,634
2020-03-27,803,31,54,718
2020-03-28,1075,35,68,972
2020-03-29,1418,42,71,1305
2020-03-30,1546,42,78,1426
2020-03-31,2084,49,88,1947
2020-04-01,2311,50,96,2165
2020-04-02,2633,51,107,2475
